"X","Y","Grid","newDDM_LAT","newDDM_LON"
-76.9180084418094,44.1065882438273,7,"44 6.395","76 55.081"
-76.892457402802,44.0890081045534,11,"44 5.34","76 53.547"
-76.8927444880938,44.0980065461716,12,"44 5.88","76 53.565"
-76.8319782753818,44.15301639975,26,"44 9.181","76 49.919"
-76.8064316534191,44.1354170518436,31,"44 8.125","76 48.386"
-76.793391696597,44.1176162219645,33,"44 7.057","76 47.604"
-76.781711891959,44.1448085148974,38,"44 8.689","76 46.903"
-76.7692145799686,44.1450027941815,41,"44 8.7","76 46.153"
-76.7694834999953,44.1540017671955,42,"44 9.24","76 46.169"
-76.7577859805969,44.1811917469014,45,"44 10.872","76 45.467"
-76.7444847068134,44.1543863464847,46,"44 9.263","76 44.669"
-76.7197468721172,44.1637646539842,53,"44 9.826","76 43.185"
-76.708544732778,44.2089482583501,57,"44 12.537","76 42.513"
-76.6950010768895,44.1731377113795,58,"44 10.388","76 41.7"
-76.6827532070639,44.182321937416,60,"44 10.939","76 40.965"
-76.6202226073417,44.1832261326639,71,"44 10.994","76 37.213"
-76.6212097291952,44.2192244659001,72,"44 13.153","76 37.273"
-76.6084506008206,44.2104018046918,75,"44 12.624","76 36.507"
-76.6091860898936,44.2374006053709,77,"44 14.244","76 36.551"
-76.5961814557513,44.2195770042688,79,"44 13.175","76 35.771"
-76.5709133931726,44.2109242826486,81,"44 12.655","76 34.255"
-76.5444771708567,44.1572661199841,84,"44 9.436","76 32.669"
-76.5447120401087,44.1662660966441,85,"44 9.976","76 32.683"
-76.5322087026583,44.1664345129444,89,"44 9.986","76 31.933"
-76.5333751819322,44.2114344308707,91,"44 12.686","76 32.003"
-76.5336088040951,44.2204343688075,92,"44 13.226","76 32.017"
-76.5076603658667,44.1847674623393,99,"44 11.086","76 30.46"
-76.5085789748401,44.2207677213802,100,"44 13.246","76 30.515"
-76.4960638990625,44.220932341843,102,"44 13.256","76 29.764"
-76.4840010395746,44.2390958348834,107,"44 14.346","76 29.04"
-76.4703614479225,44.1942568410121,111,"44 11.655","76 28.222"
-76.4705853374512,44.2032570661351,112,"44 12.195","76 28.235"
-76.4330502793564,44.2037341818556,127,"44 12.224","76 25.983"
-76.4598533753055,44.2754191315707,132,"44 16.525","76 27.591"
-76.4086701163142,44.2310467327943,138,"44 13.863","76 24.52"
-76.3961523092554,44.2312004356423,143,"44 13.872","76 23.769"
